,Filer,Date,Accession No.,Description
585,North American Electric Reliability Corporation North American Electric Reliability Corporation North American Electric Reliability Corporation,10/23/2017,20171023-5549,Comments of North American Electric Reliability Corporation in response to Grid Reliability and Resilience Pricing NOPR under RM18-1.
586,Individual No Affiliation,10/23/2017,20171023-5550,"Comments of Frank Gaffney under RM18-1 on behalf of The Center for Security Policy, a non-profit educational corporation which provides timely and informed analyses and recommendations concerning critical foreign and defense policy challenges."
587,"New York State Public Service Commission, New York State Ene",10/23/2017,20171023-5551,"Comments of New York State Public Service Commission, New York State Energy Research and Development Authority, New York State Department of Environmental Conservation, and Long Island Power Authority under RM18-1."
588,"Via Science, Inc.",10/23/2017,20171023-5552,"Comment of Via Science, Inc. under RM18-1."
589,Washington Governor Jay Inslee Oregon Governor Kate Brown,10/23/2017,20171023-5553,Comment of Washington Governor Jay Inslee and Oregon Governor Kate Brown under RM18-1.
590,Public Service Electric and Gas Company PSEG Power LLC PSEG Energy Resources & Trade LLC,10/23/2017,20171023-5555,Comments of the PSEG Companies under RM18-1.
591,"Southwest Power Pool, Inc.",10/23/2017,20171023-5556,"Comments of Southwest Power Pool, Inc. under RM18-1."
592,Individual No Affiliation,10/23/2017,20171023-5557,Comment of Christopher Carson under RM18-1.
593,"PUBLIC CITIZEN, INC",10/23/2017,20171023-5558,"Comment of PUBLIC CITIZEN, INC under RM18-1."
594,OCC,10/23/2017,20171023-5559,Comment of OCC under RM18-1.
595,"Midcontinent Independent System Operator, Inc. Midcontinent Independent System Operator, Inc. Midcontinent Independent System Operator, Inc.",10/23/2017,20171023-5560,"Comment of Midcontinent Independent System Operator, Inc. under RM18-1."
596,IOGA of West Virginia,10/23/2017,20171023-5561,"Initial Comments of Independent Oil & Gas Association of West Virginia, Inc. under RM18-1."
597,National Wildlife Federation,10/23/2017,20171023-5562,Corrected comment of National Wildlife Federation under RM18-1.
598,Imperial Irrigation District Imperial Irrigation District Imperial Irrigation District,10/23/2017,20171023-5563,Motion to Intervene and Initial Comments of Imperial Irrigation District under RM18-1.
599,Power Trading Institute of the Commodity Markets Council,10/23/2017,20171023-5564,Comment of Power Trading Institute of the Commodity Markets Council under RM18-1.
600,American Gas Association,10/23/2017,20171023-5565,Comments of the American Gas Association under RM18-1.
601,Individual No Affiliation,10/23/2017,20171023-5566,Comment in support of the proposed Grid Resiliency Rule by Jeff Terry under RM18-1.
602,Connecticut Public Utilities Regulatory Authority,10/23/2017,20171023-5567,Comment of Connecticut Public Utilities Regulatory Authority and the Connecticut Department of Energy and Environmental Protection's Bureau of Energy and Technology Policy under RM18-1.
603,Individual No Affiliation,10/23/2017,20171023-5568,Comment of Brinda Thomas & Eric Hittinger under RM18-1.
604,Individual No Affiliation,10/23/2017,20171023-5569,Comment of Winifred S Colwill under RM18-1.
605,Nuclear Energy Information Service,10/23/2017,20171023-5570,Comment of Nuclear Energy Information Service under RM18-1.
606,Individual No Affiliation,10/23/2017,20171023-5571,Comments of Roger L Davenport under RM18-1.
607,Individual No Affiliation,10/23/2017,20171023-5572,Comment of Jill Leukhardt under RM18-1.
608,Coal Industry Suppliers,10/23/2017,20171023-5573,Comment of Coal Industry Suppliers under RM18-1.
609,"Enel Companies (Enel Green Power North America, Inc. and Ene",10/23/2017,20171023-5574,"(doc-less) Motion to Intervene of The Enel Companies (Enel Green Power North America, Inc. and EnerNOC, Inc.) under RM18-1."
610,Nuclear Information and Resource Service,10/23/2017,20171023-5575,Comments of Nuclear Information and Resource Service and ninety (90) other organizations under RM18-1.
611,Delaware Public Service Commission Delaware Division of the Public Advocate Delaware Department of Natural Resources and Environmental C,10/23/2017,20171023-5578,"Comment of the Delaware Public Service Commission, the Delaware Division of the Public Advocate, and the Delaware Department of Natural Resources and Environmental Control under RM18-1."
612,TransCanada Corporation,10/23/2017,20171023-5579,TransCanada Corporation Comments regarding Grid Reliability and Resilience Pricing under RM18-1.
613,California Independent System Operator Corporation California Independent System Operator Corporation California Independent System Operator Corporation California Independent System Operator Corporation California Independent System Operator Corporation,10/23/2017,20171023-5580,Comments of the California Independent System Operator Corporation under RM18-1.
614,Solar Energy Industries Association,10/23/2017,20171023-5581,Comment of Solar Energy Industries Association under RM18-1.
615,Individual No Affiliation,10/23/2017,20171023-5583,Comment of Advanced Energy Buyers Group under RM18-1.
616,California Municipal Utilities Association,10/23/2017,20171023-5584,"Joint Comments of California Municipal Utilities Association, California Wind Energy Association under RM18-1."
617,Utah Governor's Office of Energy Development CHAIR AND IMMEDIATE STAFF,10/23/2017,20171023-5586,Comments of the Utah Governor's Office of Energy Development under RM18-1.
618,"Kinder Morgan, Inc. Kinder Morgan, Inc. Kinder Morgan, Inc. Kinder Morgan, Inc.",10/23/2017,20171023-5587,"Comment of Kinder Morgan, Inc. under RM18-1."
619,"WEC Energy Group, Inc.",10/23/2017,20171023-5588,"Comments of WEC Energy Group, Inc. under RM18-1."
620,Beal Bank USA,10/23/2017,20171023-5589,Motion to Intervene and Comments of Beal Bank USA under RM18-1.
621,EARTHJUSTICE Sierra Club NATURAL RESOURCES DEFENSE COUNCIL Environmental Defense Fund Sustainable FERC Project UNION OF CONCERNED SCIENTISTS Environmental Law and Policy Center Conservation Law Foundation Center for Biological Diversity SOUTHERN ENVIRONMENTAL LAW CENTER,10/23/2017,20171023-5590,"Comments of Sierra Club, et. al. under RM18-1. (Erroneously filed)"
622,American Coalition for Clean Coal Electricity,10/23/2017,20171023-5591,Comments of American Coalition for Clean Coal Electricity under RM18-1.
623,The Ohio Manufacturers' Association Energy Group,10/23/2017,20171023-5594,Comments of The Ohio Manufacturers' Association Energy Group under RM18-1.
624,Individual No Affiliation,10/23/2017,20171023-5597,Letter to Chairman Chatterjee and Commissioners LaFleur and Powelson of The Honorable Andrea M Boland under RM18-1.
625,"PJM Interconnection, L.L.C.",10/23/2017,20171023-5598,"Comments of PJM Interconnection, L.L.C. under RM18-1."
626,City of Ames,10/23/2017,20171023-5599,Comments of City of Ames under RM18-1.
627,Pacific Gas and Electric Company,10/23/2017,20171023-5600,Motion to Intervene and Comments of Pacific Gas and Electric Company under RM18-1.
628,National Hydropower Association,10/23/2017,20171023-5601,Comments of National Hydropower Association under RM18-1.
629,Michigan Agency for Energy,10/23/2017,20171023-5602,Motion to Intervene and Comments of Michigan Agency for Energy under RM18-1.
630,FIRST ENERGY CORPORATION,10/23/2017,20171023-5603,Comment of Bainbridge Chemical Company under RM18-1.
631,Individual No Affiliation,10/23/2017,20171023-5604,Comment of James F Ketcham-Colwill on grid resiliency pricing proposal under RM18-1.
632,Individual No Affiliation,10/23/2017,20171023-5605,Comment of Large Corporate Energy Users under RM18-1.
633,Organization of MISO States,10/23/2017,20171023-5606,Comment of the Organization of MISO States under RM18-1.
634,Individual No Affiliation,10/23/2017,20171023-5607,Comments of Allen Mosher under RM18-1.
635,Individual No Affiliation,10/23/2017,20171023-5608,Comment of Large Corporate Energy Users under RM18-1.
636,American Nuclear Society,10/23/2017,20171023-5610,Comments of American Nuclear Society under RM18-1.
637,West Virginia Attorney General's Office,10/23/2017,20171023-5614,Comment of West Virginia Attorney General under RM18-1.
638,American Wind Energy Association,10/23/2017,20171023-5615,"Comments of Advanced, Renewable and Storage Energy Industry Associations under RM18-1."
639,"City of New York, New York",10/23/2017,20171023-5616,"Comments of the City of New York, New York under RM18-1."
640,American Coal Council,10/23/2017,20171023-5617,Comments of American Coal Council under RM18-1.
641,Business Council for Sustainable Energy,10/23/2017,20171023-5618,Comments of the Business Council for Sustainable Energy under RM18-1.
642,Individual No Affiliation,10/23/2017,20171023-5619,Comments of William Penniman under RM18-1.
643,Sustainable FERC Project,10/23/2017,20171023-5620,Comments of Natural Resources Defense Council & Sustainable FERC Project under RM18-1.
644,National Electrical Manufacturers Association,10/23/2017,20171023-5621,Comment of National Electrical Manufacturers Association (NEMA) under RM18-1.
645,Individual No Affiliation,10/23/2017,20171023-5622,"Comment of the Allegheny Conference on Community Development (Pittsburgh, PA) under RM18-1."
646,Individual No Affiliation,10/23/2017,20171023-5623,Comment of Daniel L. Shawhan under RM18-1.
647,Individual No Affiliation,10/23/2017,20171023-5624,Comment of Patrick Henderson of Marcellus Shale Coalition under RM18-1.
648,Individual No Affiliation,10/23/2017,20171023-5627,"Comment of Catherine F. Skopic under RM18-1. Opposition to Proposed Grid Resiliency Pricing Rule Islandable microgrids, distributed energy resources - solar, wind, energy storage offer - more grid resiliency & reliability than large power plants."
649,"Etsy, Inc.",10/23/2017,20171023-5630,"Etsy, Inc. Comments Regarding the Proposed Grid Resiliency Pricing Rule Docket No RM18-1."
650,E2 (Environmental Entrepreneurs),10/23/2017,20171023-5631,Comment of E2 (Environmental Entrepreneurs) under RM18-1.
651,Horizon Power Systems,10/23/2017,20171023-5632,Comment of Horizon Power Systems under RM18-1.
652,"Everpower Wind Holdings, Inc.",10/23/2017,20171023-5639,"Comment of Everpower Wind Holdings, Inc. under RM18-1."
653,Lignite Energy Council,10/23/2017,20171023-5640,Comment of Lignite Energy Council under RM18-1. We were unable to file the comments yesterday due technical difficulties with FERC's efiling system.
654,"Kent County Department of Public Works, Grand Rapids, MI",10/23/2017,20171023-5641,"Letter of Kent County Department of Public Works, Grand Rapids, MI in Support of Comments Filed by Covanta Energy, LLC on October 23, 2017 under RM18-1."
655,Range Resources-Appalachia LLC,10/23/2017,20171023-5642,Motion to Intervene of Range Resources-Appalachia LLC under RM18-1.
656,Maryland General Assembly,10/23/2017,20171023-5643,Comment of Maryland General Assembly under RM18-1.
657,York County Solid Waste Authority,10/23/2017,20171023-5644,"Letter from York County Solid Waste Authority in Support of Comments Filed by Covanta Energy, LLC on October 23, 2017 under RM18-1."
658,CHP Association,10/23/2017,20171023-5645,Comment of CHP Association under RM18-1.
659,Uranium Energy Corp,10/23/2017,20171023-5646,Comment of Uranium Energy Corp under RM18-1.
660,"McClymonds Supply & Transit Co., Inc.",10/23/2017,20171023-5647,"Comment of McClymonds Supply & Transit Co., Inc. under RM18-1."
661,Carbon Utilization Research Council,10/23/2017,20171023-5648,Comments of Carbon Utilization Research Council under RM18-1.
662,Individual No Affiliation,10/23/2017,20171023-5650,Comment of David J. Lischner under RM18-1.
663,Individual No Affiliation,10/23/2017,20171023-5651,Comment of Bruce Rosen under RM18-1.
664,Individual No Affiliation,10/23/2017,20171023-5652,"Letter to Chairman Chatterjee and Commissioners of Eugene G. Preston, PhD, PE (CEII Resiliency Specific Scenario) to Notice of Proposed Rulemaking under RM18-1."
665,Individual No Affiliation,10/23/2017,20171023-5653,"Letter to Chairman Chatterjee and Commissioners of Eugene G. Preston, PhD, PE (CEII Resiliency Specific Scenario) to Notice of Proposed Rulemaking under RM18-1."
666,Navajo Nation,10/23/2017,20171023-5654,Comments of the Navajo Nation under RM18-1.
667,Individual No Affiliation,10/23/2017,20171023-5655,Report / Form of Elizabeth McIntyre under RM18-1.
668,Miami-Dade County Department of Solid Waste Management,10/23/2017,20171023-5656,"Letter from Miami-Dade County Department of Solid Waste Management supporting the Comments of Covanta Energy, LLC filed October 23, 2017 under RM18-1."
669,U.S. Nuclear Infrastructure Council,10/23/2017,20171023-5657,Comment of U.S. Nuclear Infrastructure Council under RM18-1 on Grid Reliability and Resilience Pricing Rule.
670,"Aspire Commodities, LP",10/23/2017,20171023-5658,"Comment of Aspire Commodities, LP under RM18-1."
671,Foundation for Resilient Societies,10/23/2017,20171023-5659,"Comment and Motion of Foundation for Resilient Societies under RM18-1, filed October 23, 2017, with errata corrected October 24, 2017 in re: Grid Reliability and Resilience Pricing."
672,EARTHJUSTICE Environmental Defense Fund NATURAL RESOURCES DEFENSE COUNCIL Sierra Club Sustainable FERC Project UNION OF CONCERNED SCIENTISTS Center for Biological Diversity Environmental Law and Policy Center SOUTHERN ENVIRONMENTAL LAW CENTER Conservation Law Foundation Fresh Energy Environmental Working Group,10/23/2017,20171023-5660,Comments of Public Interest Organizations under RM18-1.
673,LAKE COUNTY BOARD OF COMMISSIONERS,10/23/2017,20171024-0010,"Comments of Jerry C. Cirino, President of the Lake County, OH Board of County Commissioners re the electric grid under RM18-1."
674,"Rockland Capital, LLC",10/23/2017,20171024-5004,"Comment of Rockland Capital, LLC, Caithness Energy, LLC, Moxie Energy, LLC, ARES EIF Management, LLC and Panda Power Generation Infrastructure Fund under RM18-1."
675,Individual No Affiliation,10/23/2017,20171024-5005,Comment of Linda Reik under RM18-1-000. NO coal. NO nuclear. NO gas. 100% renewable and sustainable power generation is required!
676,Individual No Affiliation,10/23/2017,20171024-5006,Comments of Paul Centolella on Grid Reliability and Resilience Pricing Docket No. RM18-1.
677,Biomass Power Association,10/23/2017,20171024-5020,Comment of Biomass Power Association under RM18-1.
678,North American Young Generation in Nuclear,10/23/2017,20171024-5023,Comment of North American Young Generation in Nuclear under RM18-1.
679,Nuclear Information and Resource Service,10/23/2017,20171024-5030,"Public comments of 868 individuals delivered by Nuclear Information and Resource Service under RM18-1-000. These comments are supplemental to the comments of 10,561 other individuals delivered on October 11, 2015, totaling 11,429 individual comments."
680,Uranium Producers of America,10/23/2017,20171024-5036,Comment of Uranium Producers of America under RM18-1.
681,Wheeling and Lake Erie Railway,10/23/2017,20171024-5052,Comment of Wheeling and Lake Erie Railway under RM18-1.
682,Individual No Affiliation,10/23/2017,20171024-5168,Comment of John A Breitbart regarding Docket # RM18-1. This is a citizen response to this proposal.
683,UNITED STATES DEPARTMENT OF THE INTERIOR,10/24/2017,20171024-0006,United States Department of the Interior submits comments re the Secretary Perry's grid reliability and resilience pricing proposal under RM18-1.
684,UNITED WAY (ALL CHAPTERS),10/24/2017,20171024-0012,Comments of Executive Director Gayle M. Young re the Grid Resiliency Pricing Rule under RM18-1.
685,Beaver County Commissioners,10/24/2017,20171024-0013,Beaver County Corporation submits comments on rulemaking re the grid under RM18-1.
686,Public Service Electric and Gas Company PSEG Energy Resources & Trade LLC PSEG Power LLC,10/24/2017,20171024-5170,Verification to the Affidavit of Lawrence J. Makovich of the PSEG Companies under RM18-1.
687,GOVERNOR OF WEST VIRGINIA,10/24/2017,20171026-0019,Comments of Governor Jim Justice of West Virginia regarding the Grid Reliability and Resilience Pricing under RM18-1.
688,United States Congress,10/24/2017,20171026-0023,Congressman Keith Rothfus et al submits comments re the review of the nation's power markets under RM18-1.
689,Individual No Affiliation,10/25/2017,20171025-5040,Comment of Nancy D'Angelo - I am submitting a comment to the FERC about the proposed coal and nuclear industry bailouts which I think are unconscionable under RM18-1.
690,Group Against Smog and Pollution,10/25/2017,20171025-5044,Comment of Group Against Smog and Pollution under RM18-1. (Erroneously Filed)
691,Individual No Affiliation,10/25/2017,20171025-5048,Comment of Brian Epperson under RM18-1.
692,Individual No Affiliation,10/25/2017,20171025-5062,Comment of Susan Fleetwood under RM18-1.
693,Sierra Club,10/25/2017,20171025-5066,Comments of Sierra Club- Please find attached an additional 4137 signatures to Sierra Club's original comments from our members and supporters under RM18-1
694,Edison Electric Institute,10/25/2017,20171025-5087,Request to Update Service List for Edison Electric Institute under RM18-1.
695,Group Against Smog and Pollution,10/25/2017,20171025-5108,Comment of Group Against Smog and Pollution under RM18-1.
696,Connecticut Office of Consumer Counsel,10/25/2017,20171025-5172,Motion to Intervene Out-of-Time and Initial Comments of Connecticut Office of Consumer Counsel under RM18-1.
697,Individual No Affiliation,10/25/2017,20171025-5231,Comment of Timothy E Donnelly under RM18-1.
698,INDIVIDUAL,10/25/2017,20171026-0007,Comments of E Jill Hirt re the proposed Grid Resiliency Pricing Rule under RM18-1.
699,INDIVIDUAL,10/25/2017,20171026-0012,Jim Cottrill submits comments re the proposed Grid Resiliency Pricing Rule under RM18-1.
700,US Congress US Congress US Congress,10/26/2017,20171026-0020,"Comments of US Congressmen Mike Bost, Rodney Davis, and Darin LaHood regarding RM18-1."
701,CONGRESS OF THE UNITED STATES,10/26/2017,20171026-0021,Comment of Congressman Frank A. LoBiondo re the proposed Grid Resiliency Pricing Rule under RM18-1.
702,US Congress US Congress,10/26/2017,20171026-0022,"Comments of Congressmen David Joyce, and Bob Gibbs regarding the electric grid under RM18-1."
703,US Congress US Congress,10/26/2017,20171026-0024,Response to Senator Manchin's 10/05/2017 letter re the proposed Grid Resiliency Pricing Rule under RM18-1.
704,US Congress US Congress,10/26/2017,20171026-0025,Response to Senator Capito's 10/06/2017 letter re the Grid Reliability and Resilience Pricing under RM18-11.
705,US Congress US Congress,10/26/2017,20171026-0026,Response to Congressman Jenkins' 10/26/2017 letter re the proposed Grid Resiliency Pricing Rule under RM18-1.
706,US Congress US Congress,10/26/2017,20171026-0027,Response to Congressman McKinley's 10/06/17 letter concerning the proposed Grid Resiliency Pricing Rule under RM18-1.
707,US Congress US Congress,10/26/2017,20171026-0028,Response to Congressman Mooney's 10/06/2017 letter concerning the proposed Grid Resiliency Pricing Rule under RM18-1.
